:: 60000 :: Research, Education and Economics (Agriculture Department)                        :: http://www.ree.usda.gov                                                                                     :: http://en.wikipedia.org/wiki/Under_Secretary_of_Agriculture_for_Research,_Education,_and_Economics                   :: government_logos/agencies/64_64/USDA.png                                  :: 4, 8 ::
:: 60001 :: Internal Revenue Service (IRS)                                                    :: http://www.irs.gov                                                                                          :: http://en.wikipedia.org/wiki/Internal_Revenue_Service                                                                :: government_logos/agencies/64_64/IRS.png                                   :: 4    ::
:: 60002 :: National Credit Union Administration                                              :: http://www.ncua.gov                                                                                         :: http://en.wikipedia.org/wiki/National_Credit_Union_Administration                                                    :: government_logos/agencies/64_64/NCUA.png                                  :: 4, 8 ::
:: 60003 :: Federal Highway Administration                                                    :: http://www.fhwa.dot.gov                                                                                     :: http://en.wikipedia.org/wiki/Federal_Highway_Administration                                                          :: government_logos/agencies/64_64/FHWA.png                                  :: 4    ::
:: 60004 :: National Park Foundation                                                          :: http://www.nationalparks.org                                                                                :: http://en.wikipedia.org/wiki/National_Park_Foundation                                                                :: government_logos/agencies/64_64/NPF.png                                   :: 4    ::
:: 60005 :: Postal Rate Commission                                                            :: http://www.prc.gov                                                                                          :: http://en.wikipedia.org/wiki/Postal_Rate_Commission                                                                  :: government_logos/agencies/64_64/USPS.png                                  :: 4    ::
:: 60006 :: Rural Development                                                                 :: http://www.rurdev.usda.gov                                                                                  :: http://en.wikipedia.org/wiki/Rural_Development                                                                       :: government_logos/agencies/64_64/USDA.png                                  :: 4    ::
:: 60007 :: Defense Threat Reduction Agency                                                   :: http://www.dtra.mil                                                                                         :: http://en.wikipedia.org/wiki/Defense_Threat_Reduction_Agency                                                         :: government_logos/agencies/64_64/DTRA.png                                  :: 4    ::
:: 60008 :: Risk Management Agency (Agriculture Department)                                   :: http://www.rma.usda.gov                                                                                     :: http://en.wikipedia.org/wiki/Risk_Management_Agency                                                                  :: government_logos/agencies/64_64/RMA.png                                   :: 4, 8 ::
:: 60009 :: Pardon Attorney Office                                                            :: http://www.usdoj.gov/pardon                                                                                 :: http://en.wikipedia.org/wiki/Office_of_the_Pardon_Attorney                                                           :: government_logos/agencies/64_64/DeptOfJustice.png                         :: 4    ::
:: 60010 :: Women's Bureau (Labor Department)                                                 :: http://www.dol.gov/wb                                                                                       :: http://en.wikipedia.org/wiki/United_States_Women's_Bureau                                                            :: government_logos/agencies/64_64/WB.png                                    :: 4    ::
:: 60011 :: Taxpayer Advocacy Panel (TAP)                                                     :: http://www.improveirs.org                                                                                   :: http://en.wikipedia.org/wiki/List_of_United_States_federal_agencies                                                  :: government_logos/agencies/64_64/TAP.png                                   :: 4    ::
:: 60012 :: Office of Management and Budget (OMB)                                             :: http://www.whitehouse.gov/omb                                                                               :: http://en.wikipedia.org/wiki/Office_of_Management_and_Budget                                                         :: government_logos/agencies/64_64/OMB.png                                   :: 4    ::
:: 60013 :: National Economic Council                                                         :: http://www.whitehouse.gov/administration/eop/nec                                                            :: http://en.wikipedia.org/wiki/United_States_National_Economic_Council                                                 :: government_logos/agencies/64_64/WhiteHouse.png                            :: 4    ::
:: 60014 :: Department of Defense Inspector General                                           :: http://www.dodig.mil                                                                                        :: http://en.wikipedia.org/wiki/Office_of_the_Inspector_General,_U.S._Department_of_Defense                             :: government_logos/agencies/64_64/DODIG.png                                 :: 4    ::
:: 60015 :: Public Diplomacy and Public Affairs (State Department)                            :: http://www.state.gov/r                                                                                      :: http://en.wikipedia.org/wiki/Under_Secretary_of_State_for_Public_Diplomacy_and_Public_Affairs                        :: government_logos/agencies/64_64/DeptOfState.png                           :: 4    ::
